type,key,revision,last_modified,JSON
/type/author,/authors/OL10000275A,1,26/12/2021 21:47,"{""type"": {""key"": ""/type/author""}, ""name"": ""Karen McKnight Casey"", ""key"": ""/authors/OL10000275A"", ""source_records"": [""bwb:9781607526643""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-26T21:46:59.743910""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-26T21:46:59.743910""}}"
/type/author,/authors/OL10000299A,1,26/12/2021 21:50,"{""type"": {""key"": ""/type/author""}, ""name"": ""Gerard De Vries"", ""key"": ""/authors/OL10000299A"", ""source_records"": [""bwb:9780230598775""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-26T21:49:59.894933""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-26T21:49:59.894933""}}"
/type/author,/authors/OL10000345A,1,26/12/2021 22:09,"{""type"": {""key"": ""/type/author""}, ""name"": ""Herta Mag. Schaffer"", ""key"": ""/authors/OL10000345A"", ""source_records"": [""bwb:9783850403092""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-26T22:09:08.825590""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-26T22:09:08.825590""}}"
/type/author,/authors/OL10000394A,1,26/12/2021 22:15,"{""type"": {""key"": ""/type/author""}, ""name"": ""Anton P. Lassmann"", ""key"": ""/authors/OL10000394A"", ""source_records"": [""bwb:9783850402361""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-26T22:15:09.489151""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-26T22:15:09.489151""}}"
/type/author,/authors/OL10000487A,1,26/12/2021 22:25,"{""type"": {""key"": ""/type/author""}, ""name"": ""Radiohead Radiohead"", ""key"": ""/authors/OL10000487A"", ""source_records"": [""bwb:9781480339972""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-26T22:25:46.910112""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-26T22:25:46.910112""}}"
/type/author,/authors/OL10000527A,1,26/12/2021 22:32,"{""type"": {""key"": ""/type/author""}, ""name"": ""Jeffrey L. Cooley"", ""key"": ""/authors/OL10000527A"", ""source_records"": [""bwb:9781575066936""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-26T22:32:15.312844""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-26T22:32:15.312844""}}"
/type/author,/authors/OL10000937A,1,26/12/2021 23:35,"{""type"": {""key"": ""/type/author""}, ""name"": ""Deborah Crowle"", ""key"": ""/authors/OL10000937A"", ""source_records"": [""bwb:9780740609756""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-26T23:35:55.303793""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-26T23:35:55.303793""}}"
/type/author,/authors/OL10000978A,1,26/12/2021 23:53,"{""type"": {""key"": ""/type/author""}, ""name"": ""Stephanie Voigt"", ""key"": ""/authors/OL10000978A"", ""source_records"": [""bwb:9783850403696""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-26T23:53:31.899552""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-26T23:53:31.899552""}}"
/type/author,/authors/OL10000991A,1,26/12/2021 23:54,"{""type"": {""key"": ""/type/author""}, ""name"": ""Franz Josef Haydn"", ""key"": ""/authors/OL10000991A"", ""source_records"": [""bwb:9781476883199""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-26T23:54:13.641125""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-26T23:54:13.641125""}}"
/type/author,/authors/OL10001018A,1,26/12/2021 23:58,"{""type"": {""key"": ""/type/author""}, ""name"": ""Manfred Moll"", ""key"": ""/authors/OL10001018A"", ""source_records"": [""bwb:9783850407144""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-26T23:58:12.246080""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-26T23:58:12.246080""}}"
/type/author,/authors/OL10001178A,1,27/12/2021 00:12,"{""type"": {""key"": ""/type/author""}, ""name"": ""Ina Mayr"", ""key"": ""/authors/OL10001178A"", ""source_records"": [""bwb:9788490392812""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T00:12:29.412369""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T00:12:29.412369""}}"
/type/author,/authors/OL10001244A,1,27/12/2021 00:23,"{""type"": {""key"": ""/type/author""}, ""name"": ""Alexandra Grund"", ""key"": ""/authors/OL10001244A"", ""source_records"": [""bwb:9783170241992""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T00:23:13.300023""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T00:23:13.300023""}}"
/type/author,/authors/OL10001315A,1,27/12/2021 00:46,"{""type"": {""key"": ""/type/author""}, ""name"": ""Heidemarie Kronsteiner & Ursula Mulley"", ""key"": ""/authors/OL10001315A"", ""source_records"": [""bwb:9783850405324""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T00:46:43.587897""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T00:46:43.587897""}}"
/type/author,/authors/OL10001584A,1,27/12/2021 01:19,"{""type"": {""key"": ""/type/author""}, ""name"": ""Elon"", ""key"": ""/authors/OL10001584A"", ""source_records"": [""bwb:9780805059656""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T01:19:11.671292""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T01:19:11.671292""}}"
/type/author,/authors/OL10002329A,1,27/12/2021 02:48,"{""type"": {""key"": ""/type/author""}, ""name"": ""Ken WIllidau"", ""key"": ""/authors/OL10002329A"", ""source_records"": [""bwb:9781491723449""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T02:48:53.874044""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T02:48:53.874044""}}"
/type/author,/authors/OL10002716A,1,27/12/2021 03:44,"{""type"": {""key"": ""/type/author""}, ""name"": ""Carlos Buela"", ""key"": ""/authors/OL10002716A"", ""source_records"": [""bwb:9781939018618""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T03:44:21.030399""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T03:44:21.030399""}}"
/type/author,/authors/OL10002804A,1,27/12/2021 03:54,"{""type"": {""key"": ""/type/author""}, ""name"": ""Jonathan Pedlar"", ""key"": ""/authors/OL10002804A"", ""source_records"": [""bwb:9780702040191""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T03:54:04.287071""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T03:54:04.287071""}}"
/type/author,/authors/OL10002980A,1,27/12/2021 04:23,"{""type"": {""key"": ""/type/author""}, ""name"": ""Heidi Stockhaus"", ""key"": ""/authors/OL10002980A"", ""source_records"": [""bwb:9783161536670""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T04:23:53.132206""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T04:23:53.132206""}}"
/type/author,/authors/OL10003219A,1,27/12/2021 04:56,"{""type"": {""key"": ""/type/author""}, ""name"": ""Dietmar Roesner"", ""key"": ""/authors/OL10003219A"", ""source_records"": [""bwb:9783531900162""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T04:56:01.363373""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T04:56:01.363373""}}"
